0.000,0.000,0.000,0.000,0.000, 0.000, 0.000, 0.000,0.000,0.000,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000;
0.011,-7.264,8.809,6.825,-5.280, 0.212, 0.190,-2.214,0.000,0.000,0.000, 0.288,-0.181, 3.803,-0.094, 0.711, 2.555, 0.079, 0.075,-0.984;
0.023,-13.689,12.048,12.147,-13.789, 0.212, 0.190,-2.226,0.000,0.000,-1.054, 0.288,-0.172, 3.833,-0.181, 0.641, 3.375, 0.153, 0.144,-1.804;
0.035,-18.264,17.156,17.068,-18.176, 0.212, 0.190,-2.214,0.000,0.000,1.052, 0.287,-0.163, 3.839,-0.263, 0.576, 4.038, 0.221, 0.209,-2.467;
0.046,-22.093,21.479,21.184,-21.798, 0.212, 0.190,-2.226,0.000,0.000,-1.037, 0.287,-0.153, 3.870,-0.341, 0.515, 4.592, 0.284, 0.269,-3.022;
0.057,-24.974,24.821,24.334,-24.488, 0.212, 0.190,-2.226,0.000,0.000,0.000, 0.286,-0.145, 3.887,-0.409, 0.462, 5.014, 0.338, 0.321,-3.443;
0.068,-27.375,27.622,26.965,-26.718, 0.212, 0.190,-2.226,0.000,0.000,0.000, 0.285,-0.136, 3.905,-0.474, 0.411, 5.365, 0.390, 0.370,-3.794;
0.083,-29.992,30.629,29.813,-29.177, 0.212, 0.190,-2.226,0.000,0.000,0.000, 0.284,-0.125, 3.928,-0.556, 0.348, 5.746, 0.453, 0.431,-4.176;
0.091,-31.020,32.097,31.033,-29.956, 0.212, 0.190,-2.214,0.000,0.000,1.504, 0.283,-0.118, 3.929,-0.597, 0.315, 5.903, 0.485, 0.462,-4.333;
0.102,-32.286,33.624,32.466,-31.127, 0.212, 0.190,-2.226,0.000,0.000,-1.102, 0.282,-0.110, 3.958,-0.653, 0.272, 6.092, 0.527, 0.503,-4.521;
0.124,-34.253,35.919,34.615,-32.949, 0.212, 0.190,-2.214,0.000,0.000,0.574, 0.279,-0.093, 3.979,-0.755, 0.193, 6.379, 0.603, 0.578,-4.808;
0.135,-34.838,37.079,35.473,-33.233, 0.212, 0.190,-2.226,0.000,0.000,-1.086, 0.277,-0.085, 4.009,-0.727, 0.231, 6.480, 0.562, 0.536,-4.909;
0.147,-35.621,37.547,35.874,-33.948, 0.212, 0.190,-2.226,0.000,0.000,0.000, 0.275,-0.076, 4.027,-0.698, 0.271, 6.563, 0.519, 0.493,-4.992;
0.159,-36.294,37.896,36.152,-34.551, 0.212, 0.190,-2.226,0.000,0.000,0.000, 0.273,-0.066, 4.046,-0.668, 0.312, 6.629, 0.474, 0.449,-5.058;
0.170,-36.848,38.114,36.296,-35.030, 0.212, 0.190,-2.226,0.000,0.000,0.000, 0.270,-0.058, 4.065,-0.639, 0.351, 6.678, 0.431, 0.406,-5.107;
0.182,-36.735,37.678,35.786,-34.843, 0.212, 0.190,-2.226,0.000,0.000,0.000, 0.268,-0.049, 4.082,-0.611, 0.389, 6.634, 0.390, 0.365,-5.063;
0.193,-36.547,37.187,35.227,-34.587, 0.212, 0.190,-2.226,0.000,0.000,0.000, 0.265,-0.041, 4.100,-0.583, 0.426, 6.582, 0.349, 0.324,-5.011;
0.204,-36.316,36.700,34.679,-34.295, 0.214, 0.190,-2.250,0.200,0.000,-2.125, 0.260,-0.032, 4.141,-0.556, 0.462, 6.528, 0.309, 0.284,-4.957;
0.215,-36.063,36.194,34.073,-33.942, 0.214, 0.190,-2.260,0.000,0.000,-0.845, 0.257,-0.024, 4.169,-0.529, 0.498, 6.468, 0.269, 0.243,-4.897;
0.226,-35.787,35.648,33.445,-33.584, 0.214, 0.190,-2.269,0.000,0.000,-0.885, 0.254,-0.016, 4.196,-0.503, 0.532, 6.405, 0.229, 0.204,-4.834;
0.237,-35.477,35.084,32.797,-33.190, 0.217, 0.190,-2.281,0.202,0.000,-1.050, 0.249,-0.008, 4.225,-0.476, 0.567, 6.338, 0.190, 0.165,-4.767;
0.248,-35.149,34.551,32.143,-32.741, 0.217, 0.190,-2.302,0.000,0.000,-1.923, 0.246, 0.001, 4.264,-0.450, 0.601, 6.269, 0.151, 0.125,-4.698;
0.270,-34.299,33.443,30.981,-31.837, 0.217, 0.190,-2.302,0.000,0.000,0.000, 0.239, 0.016, 4.297,-0.399, 0.665, 6.129, 0.076, 0.051,-4.558;
0.283,-33.999,32.701,29.999,-31.297, 0.219, 0.190,-2.335,0.170,0.000,-2.476, 0.233, 0.025, 4.350,-0.460, 0.704, 6.039, 0.123, 0.005,-4.468;
0.295,-33.609,32.406,29.185,-30.388, 0.219, 0.190,-2.345,0.000,0.000,-0.886, 0.229, 0.034, 4.379,-0.431, 0.740, 5.955, 0.081,-0.037,-4.384;
0.306,-33.216,31.806,28.448,-29.858, 0.219, 0.190,-2.367,0.000,0.000,-1.918, 0.225, 0.041, 4.418,-0.404, 0.694, 5.876, 0.041, 0.002,-4.305;
0.317,-32.504,31.204,28.025,-29.325, 0.221, 0.190,-2.388,0.196,0.000,-1.832, 0.218, 0.049, 4.457,-0.457, 0.727, 5.797, 0.081,-0.037,-4.226;
0.329,-32.068,30.935,27.299,-28.432, 0.221, 0.190,-2.410,0.000,0.000,-1.875, 0.214, 0.057, 4.498,-0.428, 0.679, 5.716, 0.040, 0.004,-4.145;
0.341,-31.334,30.276,26.850,-27.908, 0.223, 0.190,-2.420,0.190,0.000,-0.852, 0.207, 0.065, 4.526,-0.482, 0.713, 5.633, 0.081,-0.037,-4.062;
0.353,-30.878,30.009,26.123,-26.992, 0.223, 0.190,-2.441,0.000,0.000,-1.769, 0.202, 0.073, 4.566,-0.453, 0.663, 5.551, 0.039, 0.005,-3.980;
0.365,-30.122,29.368,25.694,-26.448, 0.223, 0.190,-2.462,0.000,0.000,-1.733, 0.197, 0.081, 4.606,-0.423, 0.698, 5.468,-0.003,-0.038,-3.897;
0.376,-29.772,28.839,25.007,-25.940, 0.225, 0.190,-2.483,0.207,0.000,-1.942, 0.190, 0.089, 4.644,-0.472, 0.652, 5.395, 0.035, 0.000,-3.825;
0.388,-28.990,28.524,24.621,-25.087, 0.225, 0.190,-2.504,0.000,0.000,-1.681, 0.184, 0.097, 4.685,-0.441, 0.687, 5.314,-0.009,-0.043,-3.743;
0.399,-28.652,28.029,23.961,-24.583, 0.225, 0.187,-2.528,0.000,-0.205,-2.232, 0.180, 0.106, 4.726,-0.490, 0.718, 5.244, 0.030,-0.082,-3.673;
0.412,-28.157,27.716,23.251,-23.691, 0.228, 0.187,-2.545,0.168,0.000,-1.280, 0.171, 0.114, 4.764,-0.550, 0.661, 5.160, 0.077,-0.035,-3.589;
0.424,-27.376,27.525,23.012,-22.863, 0.228, 0.187,-2.570,0.000,0.000,-2.155, 0.166, 0.121, 4.807,-0.521, 0.693, 5.089, 0.036,-0.076,-3.518;
0.435,-27.030,27.014,22.357,-22.373, 0.228, 0.187,-2.583,0.000,0.000,-1.127, 0.160, 0.128, 4.837,-0.492, 0.645, 5.019,-0.004,-0.036,-3.448;
0.448,-26.324,26.415,21.991,-21.899, 0.228, 0.187,-2.604,0.000,0.000,-1.675, 0.154, 0.136, 4.878,-0.548, 0.592, 4.944, 0.040, 0.008,-3.373;
0.459,-25.566,26.172,21.763,-21.157, 0.230, 0.187,-2.624,0.192,0.000,-1.769, 0.146, 0.143, 4.916,-0.599, 0.542, 4.875, 0.081, 0.048,-3.305;
0.471,-24.809,25.931,21.545,-20.422, 0.230, 0.187,-2.645,0.000,0.000,-1.728, 0.139, 0.150, 4.955,-0.569, 0.573, 4.807, 0.039, 0.007,-3.236;
0.483,-24.457,25.488,20.971,-19.940, 0.230, 0.185,-2.671,0.000,-0.192,-2.288, 0.133, 0.158, 5.000,-0.539, 0.604, 4.743,-0.001,-0.034,-3.172;
0.494,-24.160,25.069,20.381,-19.472, 0.230, 0.185,-2.691,0.000,0.000,-1.774, 0.127, 0.165, 5.038,-0.589, 0.555, 4.681, 0.039, 0.006,-3.110;
0.505,-23.451,24.843,20.229,-18.837, 0.232, 0.185,-2.711,0.199,0.000,-1.771, 0.119, 0.171, 5.076,-0.638, 0.584, 4.621, 0.078,-0.033,-3.050;
0.527,-22.645,24.288,19.370,-17.726, 0.232, 0.185,-2.717,0.000,0.000,-0.288, 0.106, 0.183, 5.115,-0.581, 0.490, 4.504, 0.003, 0.041,-2.934;
0.538,-21.903,23.640,19.179,-17.441, 0.232, 0.185,-2.739,0.000,0.000,-1.786, 0.099, 0.189, 5.155,-0.633, 0.521, 4.439, 0.045,-0.001,-2.868;
0.550,-21.423,23.551,18.810,-16.681, 0.232, 0.183,-2.772,0.000,-0.192,-2.887, 0.093, 0.197, 5.207,-0.601, 0.552, 4.380, 0.004,-0.042,-2.809;
