t, u1,u2,u3,u4,x,y,theta,xp,yp,thetap,xt,yt,thetat,xtp,ytp,theatp,xgp,ygp,thetagp,xd,yd,thetad,xpd,ypd,thetaph,xppd,yppd,thetappd;
0.000,0.000,0.000,0.000,0.000, 0.000, 0.000, 0.000,0.000,0.000,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000;
0.003,-0.102,-0.099,-0.102,-0.099, 0.167,-0.047,-0.015,0.000,0.000,0.000, 0.333, 0.048, 1.588,-0.057, 0.352, 0.662, 0.056,-0.038,-0.034, 0.500, 0.001, 1.573,-0.001, 0.314, 0.628,-0.099,-0.000, 0.000;
0.015,16.597,2.602,10.847,8.352, 0.167,-0.047,-0.015,0.000,0.000,0.000, 0.333, 0.052, 1.595,-0.258, 0.490, 0.786, 0.255,-0.176,-0.158, 0.500, 0.005, 1.580,-0.003, 0.314, 0.628,-0.099,-0.001, 0.000;
0.026,16.293,0.003,10.388,5.908, 0.167,-0.047,-0.015,0.000,0.000,0.000, 0.333, 0.055, 1.602,-0.421, 0.607, 0.897, 0.416,-0.293,-0.269, 0.500, 0.008, 1.587,-0.005, 0.314, 0.628,-0.099,-0.002, 0.000;
0.047,16.107,-2.167,10.063,3.877, 0.167,-0.047,-0.015,0.000,0.000,0.000, 0.332, 0.062, 1.616,-0.708, 0.826, 1.111, 0.699,-0.512,-0.482, 0.500, 0.015, 1.600,-0.009, 0.314, 0.628,-0.099,-0.003, 0.000;
0.058,15.896,-6.117,9.582,0.196, 0.167,-0.047,-0.015,0.000,0.000,0.000, 0.332, 0.065, 1.623,-0.832, 0.707, 0.995, 0.820,-0.393,-0.366, 0.500, 0.018, 1.608,-0.012, 0.314, 0.628,-0.099,-0.004, 0.000;
0.070,14.217,-6.180,8.004,0.033, 0.167,-0.047,-0.015,0.000,0.000,0.000, 0.332, 0.069, 1.630,-0.719, 0.589, 0.878, 0.705,-0.275,-0.250, 0.500, 0.022, 1.615,-0.014, 0.314, 0.628,-0.099,-0.004, 0.000;
0.081,14.258,-4.603,8.146,1.509, 0.167,-0.047,-0.015,0.000,0.000,0.000, 0.332, 0.072, 1.637,-0.602, 0.471, 0.759, 0.586,-0.157,-0.131, 0.499, 0.026, 1.622,-0.016, 0.314, 0.628,-0.099,-0.005, 0.000;
0.092,14.327,-2.992,8.318,3.017, 0.167,-0.047,-0.015,0.000,0.000,0.000, 0.332, 0.076, 1.644,-0.491, 0.361, 0.647, 0.473,-0.047,-0.019, 0.499, 0.029, 1.629,-0.018, 0.314, 0.628,-0.099,-0.006, 0.000;
0.103,14.403,-1.479,8.490,4.434, 0.167,-0.047,-0.015,0.000,0.000,0.000, 0.332, 0.079, 1.651,-0.380, 0.471, 0.536, 0.360,-0.157, 0.092, 0.499, 0.032, 1.636,-0.020, 0.313, 0.628,-0.098,-0.006, 0.000;
